roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
2.83768,11.45073,-0.0736114,4.459002,0.000973388,0.0363455,5.83163,-1.454794,0.997075,-1.454372,-3.685468,0.456565
1.686503,12.68135,-0.6853253,3.454978,-0.6815208,-0.6885759,2.681535,-1.688531,0.6804051,-0.836118,-2.681189,0.887536
0.4589043,11.8635,-0.6842003,1.994365,-0.6832963,-0.4566448,-1.688456,-0.9917487,-0.825107,-0.4505894,0.6884569,1.0848
-1.00491,8.686316,-0.0345868,0.832748,-0.6890903,-0.4503145,-4.451179,-0.6810979,-1.687896,-0.6836212,3.684132,0.9971832
-1.84809,2.682674,0.4511385,-0.6851751,-0.0895545,-0.0537366,-4.82183,-0.6864662,-1.681486,-0.086625,5.82959,0.6834091
-2.02897,-2.682043,0.4575575,-1.02307,0.0400803,0.096232,-3.455828,-0.6865341,-0.6838752,-0.6851612,6.87426,0.4532255
-1.686264,-6.689058,0.6891902,-1.995073,0.6819083,0.4506766,-0.6832039,0.0697143,-0.0387166,-0.6823354,6.682646,0.6889803
-0.860528,-8.687441,0.882042,-3.00082,0.6808917,0.4586424,1.45721,0.4511114,0.4569072,0.6865802,5.457184,0.6871257
0.0944578,-8.684078,0.814475,-4.682893,0.0323191,0.6860828,1.686257,0.859753,0.6863738,0.816169,3.997373,0.806249
0.821723,-7.688466,0.6827303,-5.686965,-0.0534694,0.4525725,0.4500731,1.683418,0.6856235,1.683443,2.680727,0.9949218
